scorer,,,,
bodyparts,Lhand,,Rhand,
coords,x,y,x,y
0,253.9658529,464.2440534,201.3753533,541.2868681
1,246.1279626,472.053381,155.0977613,464.5619042
2,233.3276904,481.7176988,137.992414,386.8144714
3,225.2004979,491.7013646,133.0452958,343.5788498
4,220.3131578,504.7626371,151.0498393,309.7237836
5,214.8699193,520.3542891,162.295867,289.4117575
6,210.6603371,535.2984204,179.5634331,299.7449397
7,207.7679663,546.4711692,184.1522188,318.2588768
8,204.9317806,561.1189852,182.6150191,329.7078328
9,201.8932686,572.9280673,182.9285302,342.5813398
10,205.6306574,586.4386784,184.1820612,362.1750634
11,215.9262023,591.1718645,185.44239,378.0928386
12,251.7072631,559.9024143,186.6697139,399.8996792
13,293.2478616,479.3455131,190.7435405,421.0099964
14,313.8560033,390.3348925,196.8380603,437.4539474
15,329.4523551,355.9978619,202.529428,458.2901191
16,309.7042631,323.9059474,214.3526061,475.4571486
17,288.2904158,316.584764,220.8298166,489.7967749
18,270.8805056,323.8722403,223.487231,501.9899552
19,256.0496175,347.8866025,224.0729997,513.0896454
20,246.1191568,358.1391094,225.7347412,524.8011507
21,242.3071333,375.5291092,225.4292097,534.2940722
22,235.5806224,390.1295171,226.905403,545.7208414
23,231.9524436,408.2538695,226.6226983,559.0891984
24,233.0969958,414.9921463,226.9057493,566.0960562
25,230.9535353,425.0118732,224.4530282,574.5244925
26,228.173408,435.3162558,223.2571898,581.8315878
27,228.2844272,444.0149718,221.4528089,586.9411486
28,226.9032656,451.387939,215.0313451,589.24538
29,225.2768481,461.5827016,200.3902822,582.6343524
30,225.1531863,475.6683598,151.7606854,531.2550489
31,216.4117572,491.5015869,114.6231906,422.8623331
32,205.6821851,508.5508287,112.5534134,351.29321
33,198.8426704,520.4383442,130.6237731,305.9458609
34,193.2927041,531.1395289,143.0377312,293.9982853
35,187.436277,545.4758186,154.1579996,324.131077
36,184.7602105,555.9210514,151.6735063,339.26437
37,216.0154967,537.6756172,154.8954548,348.9009789
38,259.5671214,471.7688458,160.0361323,354.2043282
39,283.9357159,386.8180355,167.0708799,370.9761248
40,290.3199455,347.8689755,180.6151701,388.4252337
41,273.1152959,311.8489895,189.163317,409.0808372
42,250.8633572,277.7765365,194.2859486,428.2897739
43,,,193.7242184,440.5562677
44,226.4821355,340.9686378,192.4816008,463.8719761
45,232.8375416,357.9787232,192.0966635,480.79667
46,231.6885781,368.6389761,196.4798144,491.7924829
47,230.6882408,385.823308,195.8400628,506.8829579
48,232.9258857,400.3658581,199.7900908,518.0694523
49,237.9013548,413.7035942,198.7761939,529.5089011
50,239.3894825,419.3499671,199.6552989,533.285925
51,240.0683675,421.5075994,200.83707,536.4947577
52,237.5456793,427.8160104,200.8181753,538.1425719
53,241.5066979,439.8275771,201.4677787,547.2793331
54,243.8034199,458.7711176,197.7695804,561.6857843
55,242.3892868,469.6211623,190.1108069,566.1163821
56,238.0410624,482.139838,185.6881189,555.930777
57,236.5149789,495.3843763,147.9103434,505.1010604
58,228.9557807,504.3505249,124.0914129,406.3503778
59,220.0899196,514.6147069,122.3684168,347.5736518
60,209.4373107,521.4727249,150.0637546,313.8864686
61,205.4582068,528.6346593,160.6257768,294.3416684
62,201.3360834,533.7357041,178.371407,314.2501817
63,206.5934188,544.6177609,181.4763273,320.8442979
64,205.7267174,556.2831809,183.7154758,337.0450354
65,211.0025772,568.7659717,184.3076696,350.6463273
66,214.100054,582.1738627,185.4357886,365.0928633
67,221.1354716,588.3553265,184.5972223,382.0205705
68,241.6805673,557.2595223,184.0895538,393.6586142
69,278.0799029,486.43257,183.8767211,404.263801
70,301.1800408,406.0146043,188.5802361,417.0599992
71,316.7984611,364.8492526,195.4311666,428.8491406
72,304.739903,322.0526365,200.9713888,443.977295
73,268.8926464,295.9923339,206.6609015,457.6667321
74,244.9102023,308.7191201,207.7210994,469.0147634
75,230.3298242,336.0842302,204.0441351,483.5541595
76,233.5184422,355.4106098,207.2171373,501.0083344
77,233.9749315,374.8884733,207.5740595,520.3402486
78,235.1059418,390.0720139,208.9438605,535.5781214
79,237.6397302,410.531363,208.5242205,553.3030159
80,241.9828663,432.8197365,203.1379017,562.3804407
81,245.5450412,454.8364191,196.8146253,562.9362556
82,248.7770514,474.6190057,174.5545042,536.4699993
83,245.7789631,489.3761482,138.8927197,448.6312919
84,236.3022557,503.9113901,134.9123018,357.6998756
85,227.1838781,518.2875879,158.7356915,317.3601995
86,223.2328837,538.9741968,165.8742694,301.5740197
87,221.4037092,550.7655602,177.7220602,331.4533787
88,217.3926799,566.5374291,183.8294251,351.8697309
89,220.97409,581.0103927,187.7165187,364.0078879
90,226.2769098,593.7335203,188.7375352,381.6146559
91,,,183.0927365,393.9714646
92,267.8717278,531.9987445,181.1774215,407.539767
93,295.5115216,442.6356668,182.4926224,419.881948
94,310.23155,381.020152,191.2955985,431.4327497
95,301.3844571,337.055712,199.8908689,441.8739686
96,273.5394607,317.0593817,205.4889756,460.1949648
97,252.4360034,303.5328665,207.4574723,477.1031954
98,229.0094833,334.5307062,207.0058253,493.1867453
99,215.9677596,355.9110725,206.3448544,516.9441027
100,216.2674074,377.6610041,205.2221665,535.2164104
101,214.2667444,394.4275967,201.9594293,552.6939235
102,215.8676662,411.47247,199.0657454,566.57933
103,214.2272892,432.9314966,196.9159317,585.9280486
104,216.2410293,457.0977116,193.4496498,600.9228911
105,219.055041,485.816626,,
106,220.9717413,507.9216517,,
107,221.2070932,530.315323,,
108,226.4591521,558.0980568,153.511554,579.0880926
109,230.5027199,583.0476305,117.5792942,500.9584087
110,,,119.8589573,408.1356282
111,,,118.6561608,360.4873118
112,,,135.8796301,331.9023854
113,191.509691,599.9392097,138.0322208,348.4858795
114,,,151.6802585,368.2329655
115,,,161.6970756,377.7161899
116,,,168.971961,389.4392763
117,,,168.4926453,402.6927232
118,,,171.6944194,417.6739688
119,,,173.8460222,431.2771175
120,,,173.1740119,442.9621712
121,282.5556307,517.922996,174.6274736,457.0550556
122,307.4394866,434.5993249,179.5451732,477.2221794
123,315.941912,395.9574906,184.7957168,489.9395738
124,294.5588982,358.1116514,190.6954775,500.9637234
125,262.1616685,345.9613624,195.5210223,514.4985785
126,244.4888858,358.2644954,201.3207469,524.5261709
127,233.9577079,373.4617834,204.8289884,534.9640927
128,235.1016217,388.1134699,206.4600086,549.5740253
129,237.5140543,400.4216697,210.7451072,561.0614209
130,240.5167949,414.2484326,210.6577373,570.0020308
131,245.8408198,430.2016358,213.7422017,573.92022
132,258.2092602,445.3433224,219.6726397,579.9866379
133,273.0700238,469.2432195,217.497684,578.0197296
134,279.7071745,490.5571556,202.7346015,553.6515107
135,272.8362348,500.5322908,168.5410609,485.2962292
136,255.8981981,510.563935,142.4581141,404.0328857
137,243.3408327,527.4043794,131.9635483,354.5760806
138,235.3845184,536.4376421,155.2881414,326.4716067
139,226.2175865,542.4957936,175.7031913,310.791019
140,221.5092573,545.5305493,190.2556055,309.6805825
141,214.9078624,550.3626776,194.2611725,324.7046732
142,210.6955172,559.0150452,196.3746493,333.3864391
143,207.2681239,565.8309104,193.1896257,346.3491236
144,203.7879905,576.6969948,186.945048,365.7582474
145,203.4643688,589.4544365,184.9641156,385.055449
146,,,187.4722137,399.1565809
147,243.4943705,554.1863811,189.1718855,406.1381834
148,290.1386614,433.9560244,189.0526506,415.0469527
149,322.9151397,364.6231374,201.0107427,425.5206752
