scorer,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000
bodyparts,LHand,LHand,LHand,RHand,RHand,RHand,RFinger1,RFinger1,RFinger1,RFinger2,RFinger2,RFinger2,RFinger3,RFinger3,RFinger3,RFinger4,RFinger4,RFinger4,LFinger1,LFinger1,LFinger1,LFinger2,LFinger2,LFinger2,LFinger3,LFinger3,LFinger3,LFinger4,LFinger4,LFinger4
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,253.9658529,464.2440534,0.999997735,201.3753533,541.2868681,0.999999881,222.5328918,543.1620648,0.999999762,226.7923294,565.0751688,0.999998808,218.88047,570.2415498,0.999999762,200.8430367,565.9434158,0.999999762,240.5078013,443.564115,0.999999881,227.3391571,465.6887083,1,228.3618,479.6542263,0.999999881,238.0096495,488.0034804,0.999999046
1,246.1279626,472.053381,0.999999881,155.0977613,464.5619042,1,182.368288,467.3965994,0.999996543,177.3033879,475.0277033,0.999999762,172.1905439,486.5022702,1,163.4465432,492.3244037,0.999999881,234.243803,452.2516415,1,219.8522229,471.7660041,1,222.2133243,484.8646641,1,230.5289996,496.0143011,0.999999881
2,233.3276904,481.7176988,0.999999762,137.992414,386.8144714,0.999999881,161.1327906,391.0063808,0.999999881,157.1763457,389.7414173,0.999994874,151.1424406,390.8804588,0.999999285,147.8838006,401.9480937,0.999997854,221.072346,461.8251486,1,207.8533103,481.0595605,0.999999881,210.3983188,495.0777941,0.999999762,220.20913,504.5164647,0.999999762
3,225.2004979,491.7013646,0.999999762,133.0452958,343.5788498,0.99998939,152.93962,332.4874624,0.999849558,142.4986725,328.6735902,0.999978304,136.6941741,339.5453117,0.999996185,138.7254987,350.9264827,0.999999881,213.4108421,472.6724277,1,198.4792578,491.0551454,0.999999881,200.6958051,506.2456208,0.999998808,209.680654,515.696306,0.999999881
4,220.3131578,504.7626371,0.999999523,151.0498393,309.7237836,0.999999523,160.0466609,290.0642408,0.999993443,149.5497339,283.3106967,0.99998343,144.8515987,293.8467814,0.999984622,143.2770662,312.4620895,0.999998569,207.9916959,483.7318483,1,195.0503539,501.7120494,1,197.1893984,515.8740674,1,206.2038295,526.4658563,0.999999046
5,214.8699193,520.3542891,0.999999762,162.295867,289.4117575,0.999999762,175.4898245,262.7280076,0.999999285,161.5057571,255.4529977,0.999999881,154.7714967,267.7644624,1,155.0923886,286.6247337,0.999999285,201.9600961,501.8679833,1,190.1858201,522.0007877,0.999999285,191.3245015,536.0415053,0.999999285,202.1330729,543.4470387,0.999999642
6,210.6603371,535.2984204,0.999999881,179.5634331,299.7449397,0.999940276,191.0834165,263.6729169,0.010255317,188.4543692,269.0762031,0.999997973,179.9436037,282.0587337,0.999999285,169.8038187,308.2100489,0.999998689,195.9415521,517.7404857,1,185.270268,537.1936438,0.999999642,187.1312394,550.8593011,1,198.1045229,558.0428755,0.999999881
7,207.7679663,546.4711692,0.999999642,184.1522188,318.2588768,1,195.0171497,290.9432511,0.48048979,202.4935392,298.1715851,0.999999046,200.4438777,315.8564619,0.999994516,181.6288514,331.9209125,1,191.813417,529.9441047,1,179.4326692,550.7165561,1,181.4453923,564.2390845,0.999999881,194.1163304,570.7816722,0.999999762
8,204.9317806,561.1189852,0.999999881,182.6150191,329.7078328,1,193.5589693,304.768084,0.99994266,204.6232857,312.7360704,0.999999285,204.6938816,331.7915783,0.999998927,184.2400331,345.8334498,0.999999881,187.3270645,542.3250372,1,175.8566115,566.6166036,1,177.4798694,581.7888491,0.999999881,191.4764462,586.3436711,0.999995947
9,201.8932686,572.9280673,1,182.9285302,342.5813398,1,193.3416431,318.4714932,0.999999762,203.8248004,329.6032672,0.999999285,207.4857743,347.5494094,0.999999642,184.2605748,358.116328,1,183.6310608,555.1615072,1,174.0682805,580.1508793,1,174.7953827,593.8004797,0.999999046,199.9985666,597.552312,0.999997258
10,205.6306574,586.4386784,0.999999642,184.1820612,362.1750634,1,195.6980434,340.0107146,0.996718228,204.2899996,350.697073,1,205.4730231,366.9288242,0.999999881,185.3341651,377.7574363,0.999999881,185.7223511,572.2733964,0.999999881,179.7086763,592.3212903,0.999999046,184.7209954,604.6224397,0.981099188,202.3488525,608.2749343,0.201244518
11,215.9262023,591.1718645,0.999970078,185.44239,378.0928386,0.999999881,196.7678899,354.5976353,0.436148673,202.6003032,365.864457,1,205.4968752,381.5527384,1,186.5407853,392.5057983,0.999999762,194.8605652,586.3593223,0.999999285,191.381011,601.7104144,0.928997755,200.8101978,609.2469172,0.071824856,214.0103126,609.8955584,0.046434201
12,251.7072631,559.9024143,0.999814093,186.6697139,399.8996792,1,202.0583147,377.7232101,0.9716205,206.1089475,387.0137522,0.999999881,207.6461787,403.4048276,1,190.5225511,415.1586826,1,224.0368419,570.7097161,0.999992371,231.5420046,592.3765359,0.999996066,243.2303284,594.193866,0.999998927,260.6185476,583.0924377,0.999979973
13,293.2478616,479.3455131,0.999999881,190.7435405,421.0099964,1,205.3794947,400.5386603,0.999438465,209.583231,412.2280981,0.999999881,210.6271569,425.5855665,1,196.4233723,436.0935456,1,266.7358776,491.3922542,0.999995351,271.090816,508.09307,0.999998212,281.8626928,511.8168535,0.999999285,293.6066585,505.1112201,0.999999642
14,313.8560033,390.3348925,0.999999762,196.8380603,437.4539474,1,215.0684104,419.2073441,0.985510111,216.9006119,428.0793341,1,217.6702054,441.0955081,1,206.316427,453.08559,1,289.3107021,394.5249925,0.999999523,290.5345633,398.9073157,0.999999881,298.0139871,406.0428126,0.999999881,303.613234,409.8254285,0.999999881
15,329.4523551,355.9978619,0.999981642,202.529428,458.2901191,1,219.7318655,438.3572402,0.99839133,223.542623,448.2899046,1,222.8594444,460.2725417,1,214.4314775,472.732121,1,303.6325102,336.3404112,0.999998927,316.3466417,336.3161442,0.999998927,325.5029665,343.2152646,0.951418161,347.7369412,368.5685234,0.912893355
16,309.7042631,323.9059474,0.999526978,214.3526061,475.4571486,1,228.3112546,454.2909651,0.9980039,232.8348193,463.7358661,1,234.0394011,477.5425313,1,225.5793259,488.7952442,1,287.2180943,296.2489176,0.98905468,292.0913494,294.342922,0.999999881,296.3573613,302.3373697,0.999969006,295.5739636,323.3244786,0.960085273
17,288.2904158,316.584764,0.999992371,220.8298166,489.7967749,1,231.8674474,467.9530668,0.936228871,238.8290114,476.9014631,0.999999881,238.5255494,491.2246397,1,231.3112111,502.4555068,1,266.5296128,280.9514327,0.999236345,273.4542377,281.1128459,0.999999762,277.1217438,289.8746753,0.999883056,277.1659784,317.0343566,0.99907434
18,270.8805056,323.8722403,0.999998331,223.487231,501.9899552,1,235.9956731,480.4247284,0.932641566,240.6340318,488.618351,1,242.3834735,502.7141163,1,235.1903923,513.8292072,1,249.2902191,288.5559654,0.999984503,256.0725999,288.1372142,1,257.0326176,303.919404,0.999989986,260.2581659,333.1613462,0.999998927
19,256.0496175,347.8866025,0.99994123,224.0729997,513.0896454,1,237.6959532,491.1605129,0.909094334,241.7395148,498.1331911,1,244.1123065,512.8942785,1,237.5952432,523.8607114,1,242.5757604,302.6539121,0.993039548,239.3563166,309.0739785,0.999985456,237.6736383,326.1437881,0.942419708,243.1269842,354.9376402,0.99996233
20,246.1191568,358.1391094,0.999942183,225.7347412,524.8011507,1,239.1568496,503.9052324,0.999982715,240.3008204,510.7737103,1,243.603075,524.5226231,1,240.660465,536.2507715,1,234.5161594,324.3000242,0.999999762,214.898242,342.8533092,0.999999881,216.3613992,356.492839,0.999999285,238.0349746,374.16085,0.999999046
21,242.3071333,375.5291092,0.999998808,225.4292097,534.2940722,1,237.2718322,515.7460391,0.999789298,238.4811411,522.8615407,1,242.4094771,536.4263372,1,238.996284,546.5826173,1,230.4361014,343.8634975,1,211.6693051,361.8184652,1,210.6003895,377.0608454,0.999999881,237.3215528,393.1040397,0.999999404
22,235.5806224,390.1295171,0.999999642,226.905403,545.7208414,1,239.9134839,527.9652362,0.999992967,243.0336496,536.9626484,1,245.4811119,551.0085921,1,240.003912,559.8936121,1,226.0595223,360.8147955,1,204.4984495,381.5019492,0.999999285,206.8645918,395.2057052,0.999999404,230.0000851,409.2038939,0.999999762
23,231.9524436,408.2538695,0.999999762,226.6226983,559.0891984,1,238.7468395,542.4979405,0.999999642,243.4238201,551.6894886,1,245.4196869,565.8317362,1,240.4011431,575.1925247,1,220.6234524,378.3545301,1,200.5244823,400.9170589,1,204.2179552,414.1506341,0.999998808,225.2687042,427.4037163,0.999999881
24,233.0969958,414.9921463,0.999999642,226.9057493,566.0960562,1,239.0413494,549.1301147,0.999999523,240.7467086,558.7000813,1,244.910311,571.6736221,1,239.5218713,582.2707067,1,221.1015183,387.7209894,1,201.050149,412.3337756,0.999999881,205.4836632,425.892015,0.999999523,224.9377561,436.6214498,1
25,230.9535353,425.0118732,0.999999881,224.4530282,574.5244925,1,236.8028272,558.5029256,0.999999642,239.1129842,568.9728651,1,242.0302613,581.7468396,1,236.125491,591.1022449,1,217.8240447,396.7545927,1,197.6513039,423.287127,1,201.7771101,436.5786269,0.999999881,221.9723401,446.6524267,1
26,228.173408,435.3162558,1,223.2571898,581.8315878,1,234.7186899,568.0812268,0.999999762,238.1532552,578.731226,1,240.833461,590.7973535,0.999999881,236.6686122,599.3505256,0.999999166,216.4435024,408.6236453,1,197.2138412,435.2750152,1,201.889195,448.4861801,0.999999762,220.3658168,458.1722815,0.999999881
27,228.2844272,444.0149718,0.999999881,221.4528089,586.9411486,0.999997139,231.2207065,575.1473079,0.999999404,236.0820903,587.3126041,0.999999285,238.1670377,596.6780444,0.999994874,232.0758338,603.9675955,0.999471724,215.0766912,417.6240172,1,195.5191504,443.1970743,1,201.3158431,458.44842,0.999999762,217.48842,467.3286401,1
28,226.9032656,451.387939,0.999999881,215.0313451,589.24538,0.999997377,227.4857941,579.9583624,0.999999166,233.0815945,593.8620687,0.999637008,232.1184173,603.1401227,0.946356714,222.6362388,607.9397197,0.588552117,213.5970585,424.1998982,1,195.8641613,450.6025182,1,199.3694258,465.1623549,1,214.5386317,474.238793,0.999999881
