scorer,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,delta x Lhand,delta y Lhand,Delta x Rhand,Delta y Rhand ,velocity x Lhand (pixels/s),velocity y Lhand (pixels/s),velocity x Rhand (pixels/s),velocity y Rhand (pixels/s),total velocity,Correlation coefficient,Max,Min
bodyparts,LHand,LHand,LHand,RHand,RHand,RHand,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,585.9807878,366.0079718
coords,x,y,likelihood,x,y,likelihood,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,573.5751723,350.6703038
0,111.9458723,487.9469523,0.999999642,26.45841777,432.1483393,0.997162759,-8.732882977,10.31972682,18.5965457,-47.37066007,-873.2882977,1031.972682,1859.65457,-4737.066007,5089.018517,-0.058071973,550.4113879,379.458655
1,103.2129893,498.2666792,0.999999881,45.05496347,384.7776792,0.122897543,-7.483306885,9.968126327,-8.43066299,-38.95187569,-748.3306885,996.8126327,-843.066299,-3895.187569,3985.379151,,536.7251067,350.6703038
2,95.72968245,508.2348055,0.999999523,36.62430048,345.8258035,0.978835881,-10.65528047,7.974266008,16.09418255,179.4566846,-1065.528047,797.4266008,1609.418255,17945.66846,18017.69251,,550.4113879,366.0079718
3,85.07440197,516.2090715,1,52.71848303,525.2824881,0.002876093,-6.388479352,11.28269447,-51.60689026,-525.2157969,-638.8479352,1128.269447,-5160.689026,-52521.57969,52774.51132,,550.4113879,350.6703038
4,78.68592262,527.491766,0.999999881,1.11159277,0.06669116,0.000197722,-2.694655073,8.23880744,39.95031738,545.9437976,-269.4655073,823.880744,3995.031738,54594.37976,54740.35604,,550.4113879,366.0079718
5,75.99126755,535.7305734,1,41.06191015,546.0104887,0.001694343,-2.686334956,12.11422157,0.903377533,8.609597325,-268.6334956,1211.422157,90.3377533,860.9597325,865.6861849,,550.4113879,350.6703038
6,73.30493259,547.844795,1,41.96528769,554.6200861,0.001131241,2.383554161,11.43273878,12.94258833,-150.846351,238.3554161,1143.273878,1294.258833,-15084.6351,15140.05687,,550.4113879,366.0079718
7,75.68848675,559.2775338,0.999999762,54.90787601,403.7737351,0.038753226,4.512946427,5.649796247,-9.235716462,172.4732613,451.2946427,564.9796247,-923.5716462,17247.32613,17272.03645,,550.4113879,350.6703038
8,80.20143318,564.92733,1,45.67215955,576.2469964,0.002572019,-1.435505629,4.033058167,4.753549814,3.007437944,-143.5505629,403.3058167,475.3549814,300.7437944,562.5026118,,,
9,78.76592755,568.9603882,0.999999881,50.42570937,579.2544343,0.003028661,-0.872485518,4.157847166,5.10660708,-139.3800452,-87.24855185,415.7847166,510.660708,-13938.00452,13947.35618,,,
10,77.89344203,573.1182353,0.999999881,55.53231645,439.8743892,0.073866121,-1.012314498,3.336457014,-4.105144083,9.885310173,-101.2314498,333.6457014,-410.5144083,988.5310173,1070.381078,,,
11,76.88112754,576.4546924,1,51.42717236,449.7596993,0.039175529,-2.597853482,-0.203854322,-1.338594258,4.545236349,-259.7853482,-20.38543224,-133.8594258,454.5236349,473.8249472,,,
12,74.28327405,576.250838,0.999999881,50.0885781,454.3049357,0.171095997,-1.489935756,0.931988001,1.97627838,6.089028835,-148.9935756,93.19880009,197.627838,608.9028835,640.1714488,,,
13,72.7933383,577.182826,0.999999642,52.06485648,460.3939645,0.067763232,0.299834251,2.735583171,0.807354912,5.180974722,29.98342514,273.5583171,80.73549122,518.0974722,524.3502744,,,
14,73.09317255,579.9184092,0.999999881,52.8722114,465.5749393,0.394398451,0.202052832,1.771862164,3.111826003,2.743317544,20.20528316,177.1862164,311.1826003,274.3317544,414.8403575,,,
15,73.29522538,581.6902714,0.999999762,55.9840374,468.3182568,0.942630053,0.65982008,4.290516376,9.967601299,10.7889114,65.98200798,429.0516376,996.7601299,1078.89114,1468.855626,,,
16,73.95504546,585.9807878,0.999999046,65.9516387,479.1071682,0.971788526,-0.504530191,-0.49822402,-0.840415955,9.600000858,-50.45301914,-49.822402,-84.04159546,960.0000858,963.6717048,,,
