scorer,,,,,,,Cleaned,,,
bodyparts,LHand,LHand,LHand,RHand,RHand,RHand,Lhand,,Rhand,
coords,x,y,likelihood,x,y,likelihood,x,y,x,y
0,111.9458723,487.9469523,0.999999642,26.45841777,432.1483393,0.997162759,111.9458723,487.9469523,26.45841777,432.1483393
1,103.2129893,498.2666792,0.999999881,45.05496347,384.7776792,0.122897543,103.2129893,498.2666792,45.05496347,
2,95.72968245,508.2348055,0.999999523,36.62430048,345.8258035,0.978835881,95.72968245,508.2348055,36.62430048,345.8258035
3,85.07440197,516.2090715,1,52.71848303,525.2824881,0.002876093,85.07440197,516.2090715,52.71848303,
4,78.68592262,527.491766,0.999999881,1.11159277,0.06669116,0.000197722,78.68592262,527.491766,,
5,75.99126755,535.7305734,1,41.06191015,546.0104887,0.001694343,75.99126755,535.7305734,41.06191015,
6,73.30493259,547.844795,1,41.96528769,554.6200861,0.001131241,73.30493259,547.844795,41.96528769,
7,75.68848675,559.2775338,0.999999762,54.90787601,403.7737351,0.038753226,75.68848675,559.2775338,54.90787601,
8,80.20143318,564.92733,1,45.67215955,576.2469964,0.002572019,80.20143318,564.92733,45.67215955,
9,78.76592755,568.9603882,0.999999881,50.42570937,579.2544343,0.003028661,78.76592755,568.9603882,50.42570937,
10,77.89344203,573.1182353,0.999999881,55.53231645,439.8743892,0.073866121,77.89344203,573.1182353,55.53231645,
11,76.88112754,576.4546924,1,51.42717236,449.7596993,0.039175529,76.88112754,576.4546924,51.42717236,
12,74.28327405,576.250838,0.999999881,50.0885781,454.3049357,0.171095997,74.28327405,576.250838,50.0885781,
13,72.7933383,577.182826,0.999999642,52.06485648,460.3939645,0.067763232,72.7933383,577.182826,52.06485648,
14,73.09317255,579.9184092,0.999999881,52.8722114,465.5749393,0.394398451,73.09317255,579.9184092,52.8722114,
15,73.29522538,581.6902714,0.999999762,55.9840374,468.3182568,0.942630053,73.29522538,581.6902714,55.9840374,468.3182568
16,73.95504546,585.9807878,0.999999046,65.9516387,479.1071682,0.971788526,73.95504546,585.9807878,65.9516387,479.1071682
17,73.45051527,585.4825637,0.999953747,65.11122274,488.7071691,0.995441318,73.45051527,585.4825637,65.11122274,488.7071691
18,77.50913465,584.8126183,0.99996078,62.98015547,500.9756348,0.999982238,77.50913465,584.8126183,62.98015547,500.9756348
19,100.941151,575.8369484,0.999999642,65.15512085,511.3494561,0.999971867,100.941151,575.8369484,65.15512085,511.3494561
20,138.5371999,524.2200749,0.999999404,69.70113134,513.2102683,0.999994755,138.5371999,524.2200749,69.70113134,513.2102683
21,181.1106874,463.1470029,1,83.63488689,516.6515319,0.99999845,181.1106874,463.1470029,83.63488689,516.6515319
22,212.8933254,428.9554852,1,96.47195482,521.9472971,0.999944568,212.8933254,428.9554852,96.47195482,521.9472971
23,214.1975048,401.7380054,0.999999642,105.4615712,529.6063104,0.999996305,214.1975048,401.7380054,105.4615712,529.6063104
